AnchorX,AnchorY,AnchorZ
0.000000,0.000000,0.000000
0.000000,0.300000,0.000000
0.300000,0.300000,0.000000
0.300000,0.000000,0.000000
0.150000,0.000000,0.000000
0.000000,0.150000,0.000000
0.150000,0.300000,0.000000
0.300000,0.150000,0.000000
0.075000,0.327200,0.150000
0.075000,0.327200,0.300000
0.225000,0.327200,0.150000
0.225000,0.327200,0.300000
0.327200,0.225000,0.150000
0.327200,0.225000,0.300000
0.327200,0.075000,0.150000
0.327200,0.075000,0.300000
